Week Starting,Company,State,City,Users,Transactions,Dollars,ASP,,,
7/14/14,Pink Cab,CA,SACRAMENTO CA, 90 , 183 ," 2,064 ", 11.28 ,,,
7/14/14,Pink Cab,CA,SAN DIEGO CA, 714 ," 1,398 "," 16,827 ", 12.04 ,,,
7/14/14,Pink Cab,CA,SAN FRANCISCO CA," 2,016 "," 4,548 "," 53,517 ", 11.77 ,,,
7/14/14,Pink Cab,WA,SEATTLE WA, 123 , 282 ," 3,174 ", 11.26 ,,,
7/14/14,Pink Cab,CA,SILICON VALLEY, 267 , 471 ," 5,865 ", 12.45 ,,,
7/14/14,Pink Cab,Total US,Total US," 10,968 "," 21,954 "," 264,696 ", 12.06 ,,,
7/14/14,Pink Cab,AZ,TUCSON AZ, 54 , 81 , 891 , 11.00 ,,,
7/14/14,Pink Cab,DC,WASHINGTON DC, 237 , 426 ," 5,271 ", 12.37 ,,,
7/14/14,Yellow Cab,GA,ATLANTA GA, 357 , 694 ," 12,697 ", 18.30 ,,,
7/14/14,Yellow Cab,TX,AUSTIN TX, 147 , 334 ," 4,736 ", 14.18 ,,,
7/14/14,Yellow Cab,MA,BOSTON MA," 1,122 "," 2,852 "," 35,294 ", 12.38 ,,,
7/14/14,Yellow Cab,IL,CHICAGO IL," 2,458 "," 5,939 "," 80,641 ", 13.58 ,,,
7/14/14,Yellow Cab,TX,DALLAS TX, 323 , 661 ," 12,926 ", 19.56 ,,,
7/14/14,Yellow Cab,CO,DENVER CO, 142 , 262 ," 4,232 ", 16.15 ,,,
7/14/14,Yellow Cab,CA,LOS ANGELES CA," 1,496 "," 3,530 "," 51,304 ", 14.53 ,,,
7/14/14,Yellow Cab,FL,MIAMI FL, 179 , 436 ," 8,321 ", 19.08 ,,,
7/14/14,Yellow Cab,TN,NASHVILLE TN, 70 , 152 ," 2,225 ", 14.64 ,,,
7/14/14,Yellow Cab,NY,NEW YORK NY," 4,555 "," 10,306 "," 247,971 ", 24.06 ,,,
7/14/14,Yellow Cab,CA,ORANGE COUNTY, 142 , 311 ," 4,805 ", 15.45 ,,,
7/14/14,Yellow Cab,AZ,PHOENIX AZ, 77 , 155 ," 2,382 ", 15.37 ,,,
7/14/14,Yellow Cab,PA,PITTSBURGH PA, 31 , 57 , 952 , 16.71 ,,,
7/14/14,Yellow Cab,CA,SACRAMENTO CA, 49 , 102 ," 1,406 ", 13.78 ,,,
7/14/14,Yellow Cab,CA,SAN DIEGO CA, 625 ," 1,223 "," 17,645 ", 14.43 ,,,
7/14/14,Yellow Cab,CA,SAN FRANCISCO CA," 2,010 "," 5,638 "," 75,098 ", 13.32 ,,,
7/14/14,Yellow Cab,WA,SEATTLE WA, 290 , 631 ," 9,541 ", 15.12 ,,,
7/14/14,Yellow Cab,CA,SILICON VALLEY, 282 , 629 ," 11,337 ", 18.02 ,,,
7/14/14,Yellow Cab,Total US,Total US," 25,141 "," 57,540 "," 971,151 ", 16.88 ,,,
